R1, JD1, {"overall\_match\_percentage": "56%", "score\_breakdown": {"role\_alignment": {"score": "70%"}, "skills\_match": {"score": "40%"}, "experience\_match": {"score": "90%"}, "project\_relevance": {"score": "30%"}, "education\_match": {"score": "0%"}}}
R1, JD30, {"overall\_match\_percentage": "25%", "score\_breakdown": {"role\_alignment": {"score": "20%"}, "skills\_match": {"score": "10%"}, "experience\_match": {"score": "50%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "100%"}}}
R1, JD31, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R1, JD32, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R1, JD33, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R1, JD34, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R1, JD35, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R1, JD36, {"overall\_match\_percentage":"50%","score\_breakdown":{"role\_alignment":{"score":"50%"},"skills\_match":{"score":"20%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"30%"},"education\_match":{"score":"100%"}}}
R1, JD37, {"overall\_match\_percentage":"45%","score\_breakdown":{"role\_alignment":{"score":"50%"},"skills\_match":{"score":"15%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"20%"},"education\_match":{"score":"100%"}}}
R1, JD38, {"overall\_match\_percentage":"45%","score\_breakdown":{"role\_alignment":{"score":"40%"},"skills\_match":{"score":"25%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"10%"},"education\_match":{"score":"100%"}}}
R1, JD39, {"overall\_match\_percentage":"50%","score\_breakdown":{"role\_alignment":{"score":"50%"},"skills\_match":{"score":"20%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"30%"},"education\_match":{"score":"100%"}}}
R1, JD40, {"overall\_match\_percentage":"45%","score\_breakdown":{"role\_alignment":{"score":"40%"},"skills\_match":{"score":"25%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"10%"},"education\_match":{"score":"100%"}}}
R1, JD41, {"overall\_match\_percentage":"24%","score\_breakdown":{"role\_alignment":{"score":"10%"},"skills\_match":{"score":"10%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"0%"}}}
R1, JD42, {"overall\_match\_percentage":"27%","score\_breakdown":{"role\_alignment":{"score":"10%"},"skills\_match":{"score":"10%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"0%"}}}
R1, JD43, {"overall\_match\_percentage":"27%","score\_breakdown":{"role\_alignment":{"score":"10%"},"skills\_match":{"score":"10%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"0%"}}}
R1, JD44, {"overall\_match\_percentage":"27%","score\_breakdown":{"role\_alignment":{"score":"10%"},"skills\_match":{"score":"10%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"0%"}}}
R1, JD45, {"overall\_match\_percentage":"27%","score\_breakdown":{"role\_alignment":{"score":"10%"},"skills\_match":{"score":"10%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"0%"}}}
R1, JD46, {"overall\_match\_percentage":"34%","score\_breakdown":{"role\_alignment":{"score":"30%"},"skills\_match":{"score":"10%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"10%"},"education\_match":{"score":"0%"}}}
R1, JD47, {"overall\_match\_percentage":"35%","score\_breakdown":{"role\_alignment":{"score":"30%"},"skills\_match":{"score":"10%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"20%"},"education\_match":{"score":"0%"}}}
R1, JD48, {"overall\_match\_percentage":"34%","score\_breakdown":{"role\_alignment":{"score":"30%"},"skills\_match":{"score":"10%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"10%"},"education\_match":{"score":"0%"}}}
R1, JD49, {"overall\_match\_percentage":"34%","score\_breakdown":{"role\_alignment":{"score":"30%"},"skills\_match":{"score":"10%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"10%"},"education\_match":{"score":"0%"}}}
R1, JD50, {"overall\_match\_percentage":"31%","score\_breakdown":{"role\_alignment":{"score":"20%"},"skills\_match":{"score":"10%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"10%"},"education\_match":{"score":"0%"}}}
R2, JD1, {"overall\_match\_percentage": "91%", "score\_breakdown": {"role\_alignment": {"score": "100%"}, "skills\_match": {"score": "90%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "90%"}, "education\_match": {"score": "0%"}}}
R2, JD2, {"overall\_match\_percentage": "95%", "score\_breakdown": {"role\_alignment": {"score": "100%"}, "skills\_match": {"score": "90%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "85%"}, "education\_match": {"score": "100%"}}}
R2, JD3, {"overall\_match\_percentage": "99%", "score\_breakdown": {"role\_alignment": {"score": "100%"}, "skills\_match": {"score": "100%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "90%"}, "education\_match": {"score": "100%"}}}
R2, JD4, {"overall\_match\_percentage": "94%", "score\_breakdown": {"role\_alignment": {"score": "100%"}, "skills\_match": {"score": "90%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "70%"}, "education\_match": {"score": "100%"}}}
R2, JD5, {"overall\_match\_percentage": "92%", "score\_breakdown": {"role\_alignment": {"score": "100%"}, "skills\_match": {"score": "90%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "100%"}, "education\_match": {"score": "0%"}}}
R2, JD6, {"overall\_match\_percentage": "0%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "0%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R2, JD7, {"overall\_match\_percentage": "5%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "0%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "100%"}}}
R2, JD8, {"overall\_match\_percentage": "25%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "100%"}}}
R2, JD9, {"overall\_match\_percentage": "20%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R2, JD10, {"overall\_match\_percentage": "25%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "10%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "10%"}, "education\_match": {"score": "0%"}}}
R2, JD11, {"overall\_match\_percentage": "0%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "0%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R2, JD12, {"overall\_match\_percentage": "0%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "0%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R2, JD13, {"overall\_match\_percentage": "0%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "0%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R2, JD14, {"overall\_match\_percentage": "0%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "0%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R2, JD15, {"overall\_match\_percentage": "0%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "0%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R2, JD16, {"overall\_match\_percentage": "0%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "0%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R2, JD17, {"overall\_match\_percentage": "0%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "0%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R2, JD18, {"overall\_match\_percentage": "0%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "0%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R2, JD19, {"overall\_match\_percentage": "0%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "0%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R2, JD20, {"overall\_match\_percentage": "0%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "0%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R2, JD21, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R2, JD22, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R2, JD23, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R2, JD24, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R2, JD25, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R2, JD26, {"overall\_match\_percentage":"20%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"0%"}}}
R2, JD27, {"overall\_match\_percentage":"20%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"0%"}}}
R2, JD28, {"overall\_match\_percentage":"20%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"0%"}}}
R2, JD29, {"overall\_match\_percentage":"20%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"0%"}}}
R2, JD30, {"overall\_match\_percentage":"20%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"0%"}}}
R2, JD31, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R2, JD32, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R2, JD33, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R2, JD34, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R2, JD35, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R2, JD36, {"overall\_match\_percentage":"42%","score\_breakdown":{"role\_alignment":{"score":"30%"},"skills\_match":{"score":"20%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"10%"},"education\_match":{"score":"100%"}}}
R2, JD37, {"overall\_match\_percentage":"44%","score\_breakdown":{"role\_alignment":{"score":"20%"},"skills\_match":{"score":"30%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"20%"},"education\_match":{"score":"100%"}}}
R2, JD38, {"overall\_match\_percentage":"25%","score\_breakdown":{"role\_alignment":{"score":"20%"},"skills\_match":{"score":"20%"},"experience\_match":{"score":"30%"},"project\_relevance":{"score":"10%"},"education\_match":{"score":"100%"}}}
R2, JD39, {"overall\_match\_percentage":"44%","score\_breakdown":{"role\_alignment":{"score":"30%"},"skills\_match":{"score":"20%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"30%"},"education\_match":{"score":"100%"}}}
R2, JD40, {"overall\_match\_percentage":"50%","score\_breakdown":{"role\_alignment":{"score":"30%"},"skills\_match":{"score":"40%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"20%"},"education\_match":{"score":"100%"}}}
R2, JD41, {"overall\_match\_percentage":"0%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"0%"}}}
R2, JD42, {"overall\_match\_percentage":"0%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"0%"}}}
R2, JD43, {"overall\_match\_percentage":"0%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"0%"}}}
R2, JD44, {"overall\_match\_percentage":"0%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"0%"}}}
R2, JD45, {"overall\_match\_percentage":"0%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"0%"}}}
R2, JD46, {"overall\_match\_percentage":"34%","score\_breakdown":{"role\_alignment":{"score":"30%"},"skills\_match":{"score":"10%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"10%"},"education\_match":{"score":"0%"}}}
R2, JD47, {"overall\_match\_percentage":"35%","score\_breakdown":{"role\_alignment":{"score":"30%"},"skills\_match":{"score":"10%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"20%"},"education\_match":{"score":"0%"}}}
R2, JD48, {"overall\_match\_percentage":"34%","score\_breakdown":{"role\_alignment":{"score":"30%"},"skills\_match":{"score":"10%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"10%"},"education\_match":{"score":"0%"}}}
R2, JD49, {"overall\_match\_percentage":"34%","score\_breakdown":{"role\_alignment":{"score":"30%"},"skills\_match":{"score":"10%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"10%"},"education\_match":{"score":"0%"}}}
R2, JD50, {"overall\_match\_percentage":"31%","score\_breakdown":{"role\_alignment":{"score":"20%"},"skills\_match":{"score":"10%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"10%"},"education\_match":{"score":"0%"}}}
R3, JD1, {"overall\_match\_percentage":"87%","score\_breakdown":{"role\_alignment":{"score":"90%"},"skills\_match":{"score":"90%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"80%"},"education\_match":{"score":"0%"}}}
R3, JD2, {"overall\_match\_percentage":"96%","score\_breakdown":{"role\_alignment":{"score":"100%"},"skills\_match":{"score":"90%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"90%"},"education\_match":{"score":"100%"}}}
R3, JD3, {"overall\_match\_percentage":"76%","score\_breakdown":{"role\_alignment":{"score":"80%"},"skills\_match":{"score":"60%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"60%"},"education\_match":{"score":"100%"}}}
R3, JD4, {"overall\_match\_percentage":"84%","score\_breakdown":{"role\_alignment":{"score":"90%"},"skills\_match":{"score":"70%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"70%"},"education\_match":{"score":"100%"}}}
R3, JD5, {"overall\_match\_percentage":"90%","score\_breakdown":{"role\_alignment":{"score":"90%"},"skills\_match":{"score":"85%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"80%"},"education\_match":{"score":"100%"}}}
R3, JD6, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R3, JD7, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R3, JD8, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R3, JD9, {"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R3, JD10,{"overall\_match\_percentage":"66%","score\_breakdown":{"role\_alignment":{"score":"60%"},"skills\_match":{"score":"50%"},"experience\_match":{"score":"100%"},"project\_relevance":{"score":"60%"},"education\_match":{"score":"100%"}}}
R3, JD11,{"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R3, JD12,{"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R3, JD13,{"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R3, JD14,{"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R3, JD15,{"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
R3, JD16,{"overall\_match\_percentage":"5%","score\_breakdown":{"role\_alignment":{"score":"0%"},"skills\_match":{"score":"0%"},"experience\_match":{"score":"0%"},"project\_relevance":{"score":"0%"},"education\_match":{"score":"100%"}}}
